"Hour","Member","Rides","Category"
0,0,104260,"Occasional"
1,0,80891,"Occasional"
2,0,58794,"Occasional"
3,0,51373,"Occasional"
4,0,18286,"Occasional"
5,0,10853,"Occasional"
6,0,15651,"Occasional"
7,0,41593,"Occasional"
8,0,95333,"Occasional"
9,0,119148,"Occasional"
10,0,176405,"Occasional"
11,0,251641,"Occasional"
12,0,297305,"Occasional"
13,0,324656,"Occasional"
14,0,351734,"Occasional"
15,0,373247,"Occasional"
16,0,381761,"Occasional"
17,0,386495,"Occasional"
18,0,336341,"Occasional"
19,0,278316,"Occasional"
20,0,226709,"Occasional"
21,0,191878,"Occasional"
22,0,171103,"Occasional"
23,0,144559,"Occasional"
0,1,342367,"Member"
1,1,199197,"Member"
2,1,128901,"Member"
3,1,105681,"Member"
4,1,54243,"Member"
5,1,88844,"Member"
6,1,298309,"Member"
7,1,1014990,"Member"
8,1,1926558,"Member"
9,1,1133226,"Member"
10,1,755025,"Member"
11,1,881489,"Member"
12,1,1066208,"Member"
13,1,1072798,"Member"
14,1,1044456,"Member"
15,1,1255515,"Member"
16,1,1842212,"Member"
17,1,2424498,"Member"
18,1,1794266,"Member"
19,1,1286364,"Member"
20,1,1000669,"Member"
21,1,824135,"Member"
22,1,659658,"Member"
23,1,508041,"Member"
