"Month","Member","Rides","Months","Peak_Months","Bixi_Months"
4,0,115636,"Apr","Other","Apr"
5,0,497016,"May","Other","May"
6,0,592332,"Jun","Summer","Jun"
7,0,748524,"Jul","Summer","Jul"
8,0,756026,"Aug","Summer","Aug"
9,0,498237,"Sep","Other","Sep"
10,0,228276,"Oct","Other","Oct"
11,0,47223,"Nov","Other","Nov"
4,1,770722,"Apr","Other","Apr"
5,1,2479424,"May","Other","May"
6,1,2762765,"Jun","Summer","Jun"
7,1,2988397,"Jul","Summer","Jul"
8,1,2902694,"Aug","Summer","Aug"
9,1,2680001,"Sep","Other","Sep"
10,1,1892266,"Oct","Other","Oct"
11,1,638598,"Nov","Other","Nov"
